acil açıl
agit ağıt
ahir ahır
akis akış
aksam akşam
alim alım
as aş
asi aşı
bakir bakır
bas baş
batik batık
bol böl
boru börü
buz büz
cad çad
cam çam
can çan
dol döl
don dön
durum dürüm
ege eğe
eksi ekşi
esme eşme
fon fön
gece geçe
gocuk göçük
gol göl
hac haç
ilik ılık
ise işe
iste işte
karin karın
kas kaş
kase kaşe
katil katıl
kes keş
kil kıl
killi kıllı
kin kın
kir kır
kiril kırıl
kirpik kırpık
kit kıt
kok kök
kor kör
koy köy
koylu köylü
koz köz
kus kuş
kul kül
kulluk küllük
kup küp
kur kür
kurt kürt
mars marş
masa maşa
nisan nişan
obur öbür
od öd
ol öl
on ön
ot öt
pis piş
sakin sakın
sinirli sınırlı
sir sır
suluk sülük
sur sür
surat sürat
sure süre
sus süs
saban şaban
sak şak
saka şaka
sal şal
saman şaman
sevk şevk
sis şiş
tip tıp
tus tuş
tutun tütün
ucuz üçüz
uc uç
un ün
unlu ünlü
us üs
yas yaş
yasa yaşa
